text,aspect,polarity,label,input_text
They should have called it mascarpone with chocolate chips-good but a far cry from what the name implies.,mascarpone with chocolate chip,conflict,3,[ASPECT: mascarpone with chocolate chip] They should have called it mascarpone with chocolate chips-good but a far cry from what the name implies.
We were also seated promptly at the time of our reservation and the service was very quick and professional.,reservation,positive,0,[ASPECT: reservation] We were also seated promptly at the time of our reservation and the service was very quick and professional.
The 'kamasutra' and 'bombay cosmopolitan' are excellent and will have you tipsy in no time.,bombay cosmopolitan,positive,0,[ASPECT: bombay cosmopolitan] The 'kamasutra' and 'bombay cosmopolitan' are excellent and will have you tipsy in no time.
"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!",takeout menu,positive,0,"[ASPECT: takeout menu] The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!"
even the wine by the glass was good.,wine by the glass,positive,0,[ASPECT: wine by the glass] even the wine by the glass was good.
My fish was delicious in an incredible curry sauce.,fish,positive,0,[ASPECT: fish] My fish was delicious in an incredible curry sauce.
"The staff was accomodating, the food was absolutely delicious and the place is lovely.",food,positive,0,"[ASPECT: food] The staff was accomodating, the food was absolutely delicious and the place is lovely."
"We have been to this place many times, and always have great food, wine, and service.",food,positive,0,"[ASPECT: food] We have been to this place many times, and always have great food, wine, and service."
Wine list selection is good and wine-by-the-glass was generously filled to the top.,Wine list selection,positive,0,[ASPECT: Wine list selection] Wine list selection is good and wine-by-the-glass was generously filled to the top.
The food there are sastifying.,food,positive,0,[ASPECT: food] The food there are sastifying.
When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else.,bagels,neutral,2,[ASPECT: bagels] When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else.
"It is about FOOD and Ambiance, and imagine how dreadful it will be it we only had to listen to an idle engine.",Ambiance,negative,1,"[ASPECT: Ambiance] It is about FOOD and Ambiance, and imagine how dreadful it will be it we only had to listen to an idle engine."
"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.",food,positive,0,"[ASPECT: food] I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service."
"This place has the best interior I have seen anywhere in the northside of W'burg, and will impress whoever you bring there.",place,positive,0,"[ASPECT: place] This place has the best interior I have seen anywhere in the northside of W'burg, and will impress whoever you bring there."
"Admittedly, this is not the place for gigantic pieces of fish overflowing the plate (and thank goodness, in my opinion) but for simple, elegant sushi there is no better place in New York or anywhere in the US.",fish,neutral,2,"[ASPECT: fish] Admittedly, this is not the place for gigantic pieces of fish overflowing the plate (and thank goodness, in my opinion) but for simple, elegant sushi there is no better place in New York or anywhere in the US."
"Ambience is delightful, service impeccable.",Ambience,positive,0,"[ASPECT: Ambience] Ambience is delightful, service impeccable."
"This is the perfect spot for meeting friends, having lunch, dinner, pre-theatre or after-theatre drinks!",dinner,positive,0,"[ASPECT: dinner] This is the perfect spot for meeting friends, having lunch, dinner, pre-theatre or after-theatre drinks!"
It takes forever to get a drink and they almost always forget to bring something (although they dont forget to charge you for it.,drink,neutral,2,[ASPECT: drink] It takes forever to get a drink and they almost always forget to bring something (although they dont forget to charge you for it.
"Good food at the restaurant (a bit expensive, but great if you want to impress your date).",food,positive,0,"[ASPECT: food] Good food at the restaurant (a bit expensive, but great if you want to impress your date)."
The waitresses are nice--also you can just get counter service sit.,waitresses,positive,0,[ASPECT: waitresses] The waitresses are nice--also you can just get counter service sit.
"After 2 tries by the waiter to take it away (we hadn't even looked at it yet, we had full beers yet to drink), the manager approached and told us they needed the table for people with reservations.",beers,neutral,2,"[ASPECT: beers] After 2 tries by the waiter to take it away (we hadn't even looked at it yet, we had full beers yet to drink), the manager approached and told us they needed the table for people with reservations."
"I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices, great atmosphere, good service and a wonderful wine list.",wine list,positive,0,"[ASPECT: wine list] I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices, great atmosphere, good service and a wonderful wine list."
"Everything is excellent, the menu is quite extensive, and you eat with a view on both sides of the city.",view,positive,0,"[ASPECT: view] Everything is excellent, the menu is quite extensive, and you eat with a view on both sides of the city."
"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",chicken,positive,0,"[ASPECT: chicken] Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables."
"So I've never actually been to M proper, but I've had it delivered a few times.",delivered,neutral,2,"[ASPECT: delivered] So I've never actually been to M proper, but I've had it delivered a few times."
Check out the secret back room.,secret back room,positive,0,[ASPECT: secret back room] Check out the secret back room.
