text,aspect,polarity,label
They should have called it mascarpone with chocolate chips-good but a far cry from what the name implies.,mascarpone with chocolate chip,conflict,3
We were also seated promptly at the time of our reservation and the service was very quick and professional.,reservation,positive,0
The 'kamasutra' and 'bombay cosmopolitan' are excellent and will have you tipsy in no time.,bombay cosmopolitan,positive,0
"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!",takeout menu,positive,0
even the wine by the glass was good.,wine by the glass,positive,0
My fish was delicious in an incredible curry sauce.,fish,positive,0
"The staff was accomodating, the food was absolutely delicious and the place is lovely.",food,positive,0
"We have been to this place many times, and always have great food, wine, and service.",food,positive,0
Wine list selection is good and wine-by-the-glass was generously filled to the top.,Wine list selection,positive,0
The food there are sastifying.,food,positive,0
When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else.,bagels,neutral,2
"It is about FOOD and Ambiance, and imagine how dreadful it will be it we only had to listen to an idle engine.",Ambiance,negative,1
"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.",food,positive,0
"This place has the best interior I have seen anywhere in the northside of W'burg, and will impress whoever you bring there.",place,positive,0
"Admittedly, this is not the place for gigantic pieces of fish overflowing the plate (and thank goodness, in my opinion) but for simple, elegant sushi there is no better place in New York or anywhere in the US.",fish,neutral,2
"Ambience is delightful, service impeccable.",Ambience,positive,0
"This is the perfect spot for meeting friends, having lunch, dinner, pre-theatre or after-theatre drinks!",dinner,positive,0
It takes forever to get a drink and they almost always forget to bring something (although they dont forget to charge you for it.,drink,neutral,2
"Good food at the restaurant (a bit expensive, but great if you want to impress your date).",food,positive,0
The waitresses are nice--also you can just get counter service sit.,waitresses,positive,0
"After 2 tries by the waiter to take it away (we hadn't even looked at it yet, we had full beers yet to drink), the manager approached and told us they needed the table for people with reservations.",beers,neutral,2
"I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices, great atmosphere, good service and a wonderful wine list.",wine list,positive,0
"Everything is excellent, the menu is quite extensive, and you eat with a view on both sides of the city.",view,positive,0
"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",chicken,positive,0
"So I've never actually been to M proper, but I've had it delivered a few times.",delivered,neutral,2
Check out the secret back room.,secret back room,positive,0
"I've been to this restaurant more than a dozen times and when I'm craving for Pho, Lemon grass chicken or Beef Cube on rice, this is the place to go.",Pho,positive,0
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,positive,0
"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",candle-light,positive,0
You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,chocolate bread pudding,positive,0
"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",entree,negative,1
"The service is always bad though, don't expect much of anything from your server, and I would not recommend bringing a date here either.",server,negative,1
We actually left hungry and went across the street to Wo Hop at 15 Mott street for some good chinese food.,chinese food,positive,0
The shrimp scampi was excellent and the antipasti were plentiful.,shrimp scampi,positive,0
"Great vibe, lots of people.",vibe,positive,0
"The puke green walls leave a lot to be desired, but the food is very good.",food,positive,0
Get the soup and a nosh (pastrami sandwich) for $8 and you're golden.,nosh (pastrami sandwich),positive,0
The server was really cool and served us our food and drinks with a smile.,server,positive,0
"Even though its good seafood, the prices are too high.",prices,negative,1
"The food is consistently wonderful - I've been coming here for years, and the owner has always been accomodating and friendly.",owner,positive,0
"No dress codes, no attitudes, plenty of comfort companionship, a great place to relax in an always busy Midtown.",attitudes,positive,0
"Service is not exactly five star, but thats not really a big deal.",Service,conflict,3
"The staff is very kind and well trained, they're fast, they are always prompt to jump behind the bar and fix drinks, they know details of every item in the menu and make excelent recomendations.",staff,positive,0
Sauce was watery and the food didn't have much flavor.,flavor,negative,1
"Other guests enjoyed pizza, santa fe chopped salad and fish and chips.",fish and chips,positive,0
"Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared.",frites,negative,1
"night without a reservation, we had to wait at the bar for a little while, but the manager was so nice and made our wait a great experience.",wait,positive,0
The prices are about $9 for an entree for dinner and even less for lunch.,prices,positive,0
